token_id	token	dfs
0	är	0
1	för	0
2	knappast	0
3	begripligt	0
4	längden	0
5	upptog	0
6	riktning	0
7	sörviksmalet	0
8	när	0
9	vådor	0
10	upplyser	0
11	prestation	0
12	de	0
13	strokirk	0
14	med	0
15	förhållannog	0
16	får	0
17	frisinnade	0
18	sig	0
19	unga	0
20	vissa	0
21	samhället	0
22	att	0
23	öa	0
24	tyokes	0
25	tid	0
26	diskussionen	0
27	föreningen	0
28	alltså	0
29	farligt	0
30	domare	0
31	det	0
32	hålla	0
33	arbetet	0
34	en	0
35	af	0
36	denna	0
37	som	0
38	icke	0
39	surt	0
40	halterna	0
41	om	0
42	botemedel	0
43	arbetskraft	0
44	och	0
45	vara	0
46	särskildt	0
47	felaktig	0
48	albetsproduktens	0
49	vunna	0
50	äfven	0
51	gång	0
52	från	0
53	mängden	0
54	ett	0
55	man	0
56	dagen	0
57	öfver	0
58	amerrka	0
59	goda	0
60	tämrgen	0
61	nin	0
62	rätt	0
63	längst	0
64	ds	0
65	där	0
66	följ	0
67	reglemen	0
68	bli	0
69	nödvändigheten	0
70	litiken	0
71	faran	0
72	så	0
73	ned	0
74	sannngen	0
75	ej	0
76	handelsvara	0
77	vanliga	0
78	lönerna	0
79	konkurrensen	0
80	inbördes	0
81	resultaten	0
82	kunnat	0
83	stockholm	0
84	analys	0
85	lägsta	0
86	fall	0
87	ändrade	0
88	besattes	0
89	problem	0
90	lution	0
91	aibetgifvaren	0
92	felaktiga	0
93	föreståndarna	0
94	än	0
95	minimilön	0
96	fagerström	0
97	behofvet	0
98	finns	0
99	gjför	0
100	nu	0
101	alltefter	0
102	stationerna	0
103	keiidska	0
104	sjunker	0
105	dessa	0
106	utsträckt	0
107	har	0
108	sitt	0
109	kan	0
110	kom	0
111	dock	0
112	sida	0
113	fackföreningsobeaktad	0
114	hvaraf	0
115	loke	0
116	proc	0
117	sin	0
118	systematiskt	0
119	prof	0
120	mänskliga	0
121	jåta	0
122	hittills	0
123	betonande	0
124	dragets	0
125	t_n	0
126	därvid	0
127	hållandena	0
128	genom	0
129	ställda	0
130	deu	0
131	god	0
132	haft	0
133	glo	0
134	svårigheten	0
135	hvarje	0
136	angår	0
137	part	0
138	gt	0
139	erasam	0
140	brising	0
141	lag	0
142	till	0
143	import	0
144	verkligen	0
145	själfva	0
146	gjorde	0
147	bestämma	0
148	avbetsprodukten	0
149	kontroll	0
150	mot	0
151	åtgärd	0
152	rörde	0
153	landtbruksstyrelsen	0
154	snart	0
155	följande	0
156	ftamställningar	0
157	efter	0
158	grad	0
159	skall	0
160	omfattade	0
161	dskussionen	0
162	blir	0
163	utfvas	0
164	högskole_frågan	0
165	förnämsta	0
166	betalningen	0
167	grund	0
168	analyser	0
169	därpå	0
170	då	0
171	börjat	0
172	utländska	0
173	den	0
174	emellertid	0
175	lämnats	0
176	väl	0
177	linjerna	0
178	skulle	0
179	skäl	0
180	utväg	0
181	anmärkning	0
182	heräkutgör	0
183	satsen	0
184	ta	0
185	ju	0
186	regeringsgatan	0
187	resa	0
188	yrket	0
189	inledaren	0
190	sammanställningen	0
191	tydlighet	0
192	rör	0
193	iifstandard	0
194	direkt	0
195	plats	0
196	intressanta	0
197	arbetsprestationerna	0
198	alltid	0
199	inedgaf	0
200	likväl	0
201	mycket	0
202	slutade	0
203	drabba	0
204	felaktighet	0
205	höga	0
206	lamt	0
207	ha	0
208	styrelsens	0
209	förestån	0
210	här	0
211	men	0
212	enframställning	0
213	störafse	0
214	upp	0
215	sfö	0
216	fackföreningen	0
217	tilli	0
218	gärna	0
219	nedtrycka	0
220	utlandet	0
221	hvad	0
222	endast	0
223	styrelsen	0
224	gjort	0
225	på	0
226	förhållandena	0
227	allmänna	0
228	yl_kets	0
229	beträffande	0
230	ftckordspriset	0
231	profvens	0
232	eller	0
233	direktör	0
234	öfrigt	0
235	mindre	0
236	inom	0
237	restriktioner	0
238	ettreståndares	0
239	dugliges	0
240	föreningarna	0
241	wfall	0
242	tekniska	0
243	motsvarande	0
244	stort	0
245	förhållanhalt	0
246	urval	0
247	skillnad	0
248	högsta	0
249	stämmer	0
250	mottagna	0
251	fabriker	0
252	tagnings	0
253	ln	0
254	dugligaste	0
255	skola	0
256	såsom	0
257	aktiebolaget	0
258	kommer	0
259	gjord	0
260	lägst	0
261	omkring	0
262	mellan	0
263	alltjämt	0
264	ansags	0
265	skymta	0
266	dugliga	0
267	procentsiffror	0
268	mänhet	0
269	yttre	0
270	frökontrollen	0
271	arbetstiden	0
272	pretiaen	0
273	ske	0
274	existensvunna	0
275	svart	0
276	svåraste	0
277	sammankallats	0
278	eter	0
279	gäiler	0
280	föremål	0
281	andra	0
282	lt	0
283	bor	0
284	vattenhalter	0
285	flvatl	0
286	toder	0
287	delsefullt	0
288	das	0
289	arbetssändelsesätt	0
290	bhft	0
291	åsikten	0
292	fråga	0
293	kontrollen	0
294	ilidkde	0
295	antydas	0
296	fö	0
297	retio	0
298	gällande	0
299	nag	0
300	öfverläggning	0
301	räkna	0
302	kominer	0
303	tet	0
304	studium	0
305	gemensam	0
306	ar	0
307	människor	0
308	bety	0
309	kvinnliga	0
310	åtaga	0
311	värde	0
312	analysmetoder	0
313	firavara	0
314	kräfde	0
315	stora	0
316	uppfattskillnad	0
317	atertagancten	0
318	facklförening_arna	0
319	fackkommit	0
320	inled	0
321	ocli	0
322	borgerliga	0
323	samtidigt	0
324	ut	0
325	längsta	0
326	ädd	0
327	framgå	0
328	föredrag	0
329	arbetarna	0
330	doak	0
331	förefanns	0
332	hur	0
333	återetår	0
334	liksom	0
335	följd	0
336	ätltrtår	0
337	någon	0
338	vore	0
339	finna	0
340	sammankallas	0
341	detta	0
342	möte	0
343	ändlägen	0
344	likgiltigt	0
345	faktorer	0
346	aifoetsgifvaren	0
347	vederbörande	0
348	utan	0
349	alltmera	0
350	gammalt	0
351	reglera	0
352	kunna	0
353	hvar	0
354	differenserna	0
355	gjort_bina	0
356	ooh	0
357	genomgående	0
358	möljlight	0
359	darna	0
360	fackföreningsrörelsen	0
